TOA A-0-Bgly                       [H]N(C(=O)C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
TOB A-2cypha-Bgly                  [H]N(C(=O)C1(C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H]
TOC A-2diMe-Bgly                   [H]N(C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
TOD A-2exene-Bgly                  [H]C([H])=C(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H]
TOE A-3cypha-Bgly                  [H]N(C(=O)C([H])([H])C1(N([H])C(=O)C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H]
TOF A-3diMe-Bgly                   [H]N(C(=O)C([H])([H])C(N([H])C(=O)C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
TOG A-2cyphaNMe-Bgly               [H]N(C(=O)C1(C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H]
TOH A-0NEt-Bgly                    [H]N(C(=O)C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H]
TOI A-0NMe-Bgly                    [H]N(C(=O)C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
JJA D-2R3S-Bthr                    [H]O[C@@]([H])(C([H])([H])[H])[C@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H]
JJB D-2R-Bser                      [H]OC([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H]
JOA D-2S3R-Bile                    [H]N(C(=O)[C@]([H])(C([H])([H])N([H])C(=O)C([H])([H])[H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H]
JOB D-2S-Bala                      [H]N(C(=O)[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
JUA D-2S-Barg                      [H]N([H])C(N([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H])=[N+]([H])[H]
JJC D-2S-Basn                      [H]N([H])C(=O)C([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H]
JVA D-2S-Basp                      [H]N(C(=O)[C@@]([H])(C([H])([H])C(=O)[O-])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
JAA D-2S-Bcys                      [H]SC([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H]
JJD D-2S-Bgln                      [H]N([H])C(=O)C([H])([H])C([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H]
JVB D-2S-Bglu                      [H]N(C(=O)[C@]([H])(C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C(=O)[O-])C([H])([H])[H]
JSA D-2S-Bhis                      [H]C1=NC(C([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H])=C([H])N1[H]
JSB D-2S-Bhis-NEt                  [H]C1=NC(C([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[H])=C([H])N1[H]
JSC D-2S-Bhis-NMe                  [H]C1=NC(C([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])[H])=C([H])N1[H]
JOC D-2S-Bleu                      [H]N(C(=O)[C@]([H])(C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
